Player,Class,Pos,School,weight,FT,IN,Height_IN,fty_dash,fty_pct_given_mass,Vertical,vrt_pct_given_mass,Bench,bch_pct_given_mass,broad_jump,bj_pct_given_mass,three_cone,three_pct_given_mass,Shuttle,shud_pct_given_mass,RAS
Dohnovan West,2022,C,Arizona St.,296,6,3,75,5.27,1.134806899,28,1.071316757,,0,112,1.208496609,,0,,0,3.414620264
Kaleb Eleby,2022,QB,Western Michigan,208,6,1,73,,1,25.5,0.667318658,,0,111,0.819188058,7.57,0.894033556,,0,3.380540272
Drake Jackson,2022,EDGE,USC,254,6,3,75,,1,36.5,1.198380508,,0,127,1.175907445,,0,,0,3.374287953
Jalen Tolbert,2022,WR,South Alabama,194,6,1,73,4.49,0.849684815,36,0.878686559,,0,123,0.846650444,7.08,0.77988325,,0,3.354905067
Brock Purdy,2022,QB,Iowa St.,212,6,1,73,4.84,0.861376397,27,0.720160633,,0,,0,7.21,0.867892091,4.45,0.880960628,3.330389749
Channing Tindall,2022,LB,Georgia,230,6,2,74,4.47,1.025726653,42,1.23201427,,0,129,1.067145666,,0,,0,3.324886589
Jesse Luketa,2022,LB,Penn St.,253,6,3,75,4.89,1.045327879,37.5,1.226365556,,0,114,1.051383301,,0,,0,3.323076736
Makai Polk,2022,WR,Mississippi St.,195,6,3,75,4.59,0.858346809,31,0.781383904,,0,119,0.845896592,,0,4.36,0.815680596,3.301307901
Greg Bell,2022,RB,San Diego St.,201,5,11,71,,1,31,0.762470406,17,0.690647524,120,0.832357872,,0,,0,3.285475802
Verone McKinley III,2022,S,Oregon,198,5,10,70,,1,35,0.836061388,16,0.631300807,120,0.808386245,,0,,0,3.27574844
Isaiah Likely,2022,TE,Coastal Carolina,245,6,5,77,,1,36,1.170485943,,0,,0,,0,4.57,1.1028356,3.273321543
Tyreke Smith,2022,EDGE,Ohio St.,254,6,3,75,4.86,1.055937756,34,1.116299652,,0,117,1.083316307,,0,,0,3.255553715
Chance Campbell,2022,LB,Mississippi,232,6,2,74,4.57,1.012006059,39.5,1.168755567,,0,127,1.059736431,,0,,0,3.240498056
Myron Tagovailoa-Amosa,2022,DE,Notre Dame,270,6,2,74,4.81,1.118999817,29,0.998620263,,0,115,1.116780348,,0,,0,3.234400428
Bo Melton,2022,WR,Rutgers,189,5,11,71,4.34,0.832932928,38,0.878841672,,0,121,0.789187072,6.98,0.728529799,,0,3.229491471
Garrett Wilson,2022,WR,Ohio St.,183,6,1,73,4.38,0.821635977,36,0.828864125,,0,123,0.798644491,,0,4.36,0.745071937,3.19421653
Mike Rose,2022,LB,Iowa St.,245,6,4,76,,1,34,1.091102337,,0,121,1.09506396,,0,,0,3.186166296
Quay Walker,2022,LB,Georgia,241,6,4,76,4.52,1.091620815,32,1.010153808,,0,122,1.086087723,,0,,0,3.187862345
Nate Landman,2022,LB,Colorado,238,6,3,75,4.86,0.989421992,36.5,1.122891972,,0,119,1.032427635,,0,,0,3.144741599
Jamaree Salyer,2022,OG,Georgia,321,6,3,75,,1,,0,31,2.124619295,,0,,0,,0,3.124619295
Damarion Williams,2022,CB,Houston,182,5,10,70,,1,34.5,0.757522288,17,0.616554513,118,0.730677736,,0,,0,3.104754536
Daniel Faalele,2022,OT,Minnesota,384,6,8,80,,1,,0,24,2.098870216,,0,,0,,0,3.098870216
Christian Watson,2022,WR,North Dakota St.,208,6,4,76,4.36,0.976719922,38.5,1.048925271,,0,136,1.044937402,,0,,0,3.070582595
Malcolm Rodriguez,2022,LB,Oklahoma St.,232,5,11,71,4.52,0.981719702,39.5,1.121373584,,0,120,0.960731474,,0,,0,3.06382476
Baylon Spector,2022,LB,Clemson,233,6,1,73,4.6,0.996094535,36,1.055329733,,0,122,1.008586268,,0,,0,3.060010535
Christian Harris,2022,LB,Alabama,226,6,1,73,4.44,1.000985847,34.5,0.980973525,,0,132,1.05847272,,0,,0,3.040432092
Otito Ogbonnia,2022,DT,UCLA,324,6,4,76,,1,,0,29,2.032870586,,0,,0,,0,3.032870586
Jahan Dotson,2022,WR,Penn St.,178,5,11,71,4.43,0.768518334,36,0.784129412,,0,121,0.743255549,7.28,0.715618362,,0,3.011521656
D'Marco Jackson,2022,LB,Appalachian St.,233,6,1,73,4.55,1.007040629,33,0.967385588,,0,125,1.033387569,,0,,0,3.007813786
